dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_2,leaf3,10.0,2,4952,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf5,10.0,2,4953,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf6,10.0,2,4954,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf7,10.0,2,4955,,0.0,
BGP_testbed_2,leaf8,10.0,2,4956,,0.0,
BGP_testbed_2,spine1,10.0,2,4957,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine2,10.0,2,4958,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine3,10.0,2,4959,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine4,10.0,2,4960,1.0,0.29,0.6712962962962963
BGP_testbed_3,leaf1,10.0,2,4961,,0.0,
BGP_testbed_3,leaf2,10.0,2,4962,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf3,10.0,2,4963,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf5,10.0,2,4964,,0.0,
BGP_testbed_3,leaf6,10.0,2,4965,,0.0,
BGP_testbed_3,leaf7,10.0,2,4966,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,2,4967,1.0,0.38,0.753968253968254
BGP_testbed_3,spine1,10.0,2,4968,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine2,10.0,2,4969,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,2,4970,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,2,4971,1.0,0.12,0.4054054054054054
BGP_testbed_2,leaf1,10.0,4,4972,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf2,10.0,4,4973,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf3,10.0,4,4974,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf5,10.0,4,4975,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf6,10.0,4,4976,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf7,10.0,4,4977,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,4,4978,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine1,10.0,4,4979,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine2,10.0,4,4980,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine3,10.0,4,4981,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine4,10.0,4,4982,1.0,0.29,0.6712962962962963
BGP_testbed_3,leaf1,10.0,4,4983,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf2,10.0,4,4984,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf3,10.0,4,4985,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,4,4986,1.0,0.25,0.625
BGP_testbed_3,leaf6,10.0,4,4987,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf7,10.0,4,4988,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,4,4989,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,4,4990,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine2,10.0,4,4991,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,4,4992,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,4,4993,1.0,0.12,0.4054054054054054
BGP_testbed_2,leaf1,10.0,6,4994,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf2,10.0,6,4995,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,6,4996,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf5,10.0,6,4997,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf6,10.0,6,4998,1.0,0.43,0.7904411764705883
