dataset,node,window,R,k,id,precision,recall,fscore
BGP_testbed_2,leaf3,10,2.0,2,178,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf5,10,2.0,2,179,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf6,10,2.0,2,180,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf7,10,2.0,2,181,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf8,10,2.0,2,182,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine1,10,2.0,2,183,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine2,10,2.0,2,184,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine3,10,2.0,2,185,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine4,10,2.0,2,186,0.07,1.0,0.085995085995086
BGP_testbed_3,leaf1,10,2.0,2,187,0.16,1.0,0.19230769230769232
BGP_testbed_3,leaf2,10,2.0,2,188,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf3,10,2.0,2,189,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf5,10,2.0,2,190,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf6,10,2.0,2,191,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf7,10,2.0,2,192,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf8,10,2.0,2,193,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine1,10,2.0,2,194,0.13,1.0,0.15738498789346247
BGP_testbed_3,spine2,10,2.0,2,195,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine3,10,2.0,2,196,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine4,10,2.0,2,197,0.11,1.0,0.13381995133819952
BGP_testbed_2,leaf1,10,2.0,3,198,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf2,10,2.0,3,199,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf3,10,2.0,3,200,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf5,10,2.0,3,201,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf6,10,2.0,3,202,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf7,10,2.0,3,203,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf8,10,2.0,3,204,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine1,10,2.0,3,205,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine2,10,2.0,3,206,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine3,10,2.0,3,207,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine4,10,2.0,3,208,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf1,10,2.0,3,209,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf2,10,2.0,3,210,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf3,10,2.0,3,211,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf5,10,2.0,3,212,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf6,10,2.0,3,213,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf7,10,2.0,3,214,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf8,10,2.0,3,215,0.1,1.0,0.12195121951219513
BGP_testbed_3,spine1,10,2.0,3,216,0.14,1.0,0.16908212560386476
BGP_testbed_3,spine2,10,2.0,3,217,0.11,1.0,0.13381995133819952
